Processes: 406 total, 2 running, 404 sleeping, 1604 threads 
2018/10/10 16:34:20
Load Avg: 2.02, 2.24, 2.00 
CPU usage: 9.18% user, 22.44% sys, 68.36% idle 
SharedLibs: 239M resident, 65M data, 24M linkedit.
MemRegions: 68151 total, 3376M resident, 94M private, 623M shared.
PhysMem: 8150M used (1519M wired), 41M unused.
VM: 2500G vsize, 1313M framework vsize, 639804(0) swapins, 686930(0) swapouts.
Networks: packets: 1232368/1406M in, 906203/92M out.
Disks: 662728/12G read, 684821/11G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
5822  top              0.0  00:00.25 1/1   0   14+    2168K+ 0B     0B     5822 5701 running  *0[1+]      0.00000 0.00000    0   1290+    95+     176296+   88147+    1768+     91019+    64+        0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5812  mdworker_shared  0.0  00:00.09 4     1   58+    7976K+ 0B     0B     5812 1    sleeping *0[1+]      0.00000 0.00000    501 5923+    192+    608+      251+      809+      671+      281+       35+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5739  com.apple.WebKit 0.0  00:09.20 4     1   113+   60M+   2284K+ 0B     5739 1    sleeping  0[6894+]   0.00000 0.00000    501 34678+   399+    56366+    24043+    89820+    140841+   72563+     126+    818      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5736  com.apple.WebKit 0.0  00:00.26 5     2   89+    6144K+ 0B     0B     5736 1    sleeping *2+[76+]    0.00000 0.00000    501 7200+    253+    785+      268+      5223+     2449+     2089+      6+      87       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5701  bash             0.0  00:00.04 1     0   21+    680K+  0B     260K+  5701 5693 sleeping *0[1+]      0.00000 0.00000    501 970+     386+    58+       23+       11821+    109+      242+       34+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5700  mdworker_shared  0.0  00:00.24 4     1   61+    14M+   0B     7316K+ 5700 1    sleeping *0[1+]      0.00000 0.00000    501 16590+   193+    889+      354+      1786+     1077+     853+       553+    1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5699  fsnotifier       0.0  00:00.10 3     1   32+    728K+  0B     416K+  5693 5693 sleeping *0[1+]      0.00000 0.00000    501 3497+    123+    1207+     23+       1980+     3683+     759+       37+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5693  clion            0.0  05:37.51 45    1   330+   1025M+ 9352K+ 13M+   5693 1    sleeping *0[213+]    0.00000 0.00000    501 584896+  10116+  358363+   116575+   1132825+  741523+   1187842+   6909+   37863    0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5681  com.apple.WebKit 0.0  00:02.08 4     1   114+   52M+   0B     22M+   5681 1    sleeping  0[925+]    0.00000 0.00000    501 33604+   392+    8353+     3729+     19581+    24544+    15382+     8+      111      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
5680  com.apple.WebKit 0.0  00:04.39 4     1   110+   75M+   6912K+ 26M+   5680 1    sleeping  0[2758+]   0.00000 0.00000    501 46386+   394+    18675+    7284+     38847+    53490+    30622+     1+      228      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
